name,color,size,price_sale,price
2341 ALPINA NAPPA,TOTAL BEIGE GESSO,45,,109.00
2341 ALPINA NAPPA,TOTAL BEIGE GESSO,46,,109.00
2341 ALPINA NAPPA,WHITE,35,,109.00
2341 ALPINA NAPPA,WHITE,36,,109.00
2341 ALPINA NAPPA,WHITE,37,,109.00
2341 ALPINA NAPPA,WHITE,38,,109.00
2341 ALPINA NAPPA,WHITE,39,,109.00
2341 ALPINA NAPPA,WHITE,40,,109.00
2341 ALPINA NAPPA,WHITE,41,,109.00
2341 ALPINA NAPPA,WHITE,42,,109.00
2341 ALPINA NAPPA,WHITE,43,,109.00
2341 ALPINA NAPPA,WHITE,44,,109.00
2341 ALPINA NAPPA,WHITE,45,,109.00
2341 ALPINA NAPPA,WHITE,46,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,35,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,36,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,37,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,38,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,39,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,40,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,41,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,42,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,43,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,44,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,45,,109.00
2341 ALPINA NAPPA,BEIGE LT EGGSHELL-F AVORIO,46,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,35,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,36,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,37,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,38,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,39,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,40,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,41,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,42,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,43,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,44,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,45,,109.00
2341 ALPINA NAPPA,BEIGE NATURAL TOTAL-MATTE-F AVORIO,46,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,35,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,36,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,37,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,38,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,39,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,40,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,41,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,42,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,43,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,44,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,45,,109.00
2341 ALPINA NAPPA,BLACK BRISTOL TOTAL-MATTE-F AVORIO,46,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,35,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,36,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,37,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,38,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,39,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,40,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,41,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,42,,109.00
2341 ALPINA NAPPA,BLACK TOTAL-MATTE-F AVORIO,43,,109.00
